dataset,scenario,method,target_fpr,n_seeds,test_fpr_mean,test_fpr_std,test_recall_mean,test_recall_std,test_precision_mean,test_precision_std,test_f1_mean,test_f1_std
default_credit,alpha_0p1,fedavg,0.01,3,0.01169840930166203,0.002461721082350724,0.0969605626726953,0.02166240709605666,0.7007346985746187,0.038798864648977194,0.16983971449514465,0.033505805696519377
default_credit,alpha_0p1,fedavg,0.05,3,0.05314216420572082,0.004757887480034892,0.31474503893494093,0.04305527099023452,0.6259225421266166,0.02691806408509491,0.41813576869866553,0.04357817223254285
default_credit,alpha_0p1,fedavg,0.1,3,0.09815250731150586,0.008919608549734268,0.4237628736498367,0.05765909219752493,0.5497411878917499,0.02311429018337002,0.47767330648883916,0.04484373559019086
default_credit,alpha_0p1,fedavg_classweight,0.01,3,0.011555745773592937,0.0056089631594612305,0.10072846018588294,0.027351233536932827,0.7203930795490937,0.059196585730621615,0.17544852252212373,0.04015299940507163
default_credit,alpha_0p1,fedavg_classweight,0.05,3,0.0505742207004779,0.004392554195974241,0.30746043707611154,0.05556083976237156,0.6304090498265257,0.04240293835615118,0.41233956401477495,0.05910821885466607
default_credit,alpha_0p1,fedavg_classweight,0.1,3,0.09800984378343676,0.005095604921802097,0.42677719166038686,0.04728573771229386,0.5519603587694853,0.024014953766325002,0.4809121197665229,0.03893725530404186
default_credit,alpha_0p1,fedprox,0.01,3,0.01162707753762752,0.004016808110507499,0.09670936950514945,0.017255709113886557,0.7072186032419331,0.03466440343552337,0.16955725600178173,0.025421596422935618
default_credit,alpha_0p1,fedprox,0.05,3,0.053356159497824386,0.005351308747702732,0.31574981160512433,0.06449161385180005,0.6238354047975223,0.030610162506166896,0.41762883543856993,0.0649175627183668
default_credit,alpha_0p1,fedprox,0.1,3,0.09886582495185108,0.00532414093927872,0.43280582768148707,0.054384916087945157,0.5529824331300639,0.02367135571820858,0.48493680688286994,0.04346615435014678
default_credit,alpha_0p1,fedrba,0.01,3,0.012197731649903676,0.006887856597231356,0.10349158502888721,0.04287021882580329,0.7138103600318729,0.06444720962024784,0.17818627553649755,0.06283747423806428
default_credit,alpha_0p1,fedrba,0.05,3,0.053284827733789876,0.0056252683193215944,0.324290379301683,0.05443188437390345,0.6315754310790502,0.031020965477604752,0.4273891220955535,0.054516794583747794
default_credit,alpha_0p1,fedrba,0.1,3,0.10007846494043797,0.008772067004593091,0.4335594071841246,0.06113909598341923,0.5503600257552802,0.030112655341131965,0.48416223199937797,0.04885205387335444
default_credit,alpha_0p1,fedrba_classagg,0.01,3,0.010985091661316781,0.002433657480452541,0.0934438583270535,0.029195735686225344,0.7022377585930899,0.04868352747490186,0.1641097502165453,0.04603219030358971
default_credit,alpha_0p1,fedrba_classagg,0.05,3,0.05378415008203152,0.00679526317257207,0.31474503893494093,0.06590841541821853,0.6210571203554309,0.04396957025235693,0.4161760979213424,0.0679041374439939
default_credit,alpha_0p1,fedrba_classagg,0.1,3,0.09872316142378201,0.004073412236327636,0.4285355438332077,0.06706998691746423,0.5499428236638506,0.033057505493969706,0.4808980359730992,0.05569457747563046
default_credit,alpha_0p3,fedavg,0.01,3,0.009201797560453659,0.00021399529210358592,0.08540567696558654,0.013571406841738357,0.7228278639795493,0.02675318502228605,0.15262137016489533,0.022191615371751957
default_credit,alpha_0p3,fedavg,0.05,3,0.04864826307154576,0.0015030535348958647,0.3325797538306958,0.004903095025356208,0.6600252409978249,0.010242634012492223,0.44229277267986267,0.006634993223745609
default_credit,alpha_0p3,fedavg,0.1,3,0.09800984378343676,0.005045934569891494,0.46445616679226326,0.008402777535130745,0.5738636558354272,0.009315644442810909,0.5133128188202801,0.0037581472346159377
default_credit,alpha_0p3,fedavg_classweight,0.01,3,0.009059134032384638,0.0006537664162859122,0.09068073348404924,0.02039311077095684,0.7356775691249015,0.03324265301197443,0.16110789317872332,0.03336857191502047
default_credit,alpha_0p3,fedavg_classweight,0.05,3,0.04921891718382195,0.00353578250414261,0.3268023109771414,0.011109442043454381,0.653513766747375,0.022734652296444502,0.4356966042915788,0.014485218292931399
default_credit,alpha_0p3,fedavg_classweight,0.1,3,0.09494257792995224,0.006031226142785636,0.4529012810851545,0.018884648208201453,0.5754424561216721,0.01621867387122503,0.5067303375715825,0.015109378083879214
default_credit,alpha_0p3,fedprox,0.01,3,0.010057778728868002,0.00037065071850392176,0.10324039186134137,0.016039032896603436,0.7425729201533863,0.02404964770229107,0.1810787456826878,0.025538625395960402
default_credit,alpha_0p3,fedprox,0.05,3,0.047934945431200505,0.0019020317606067737,0.33408691283597086,0.003137401657070276,0.6643961527232488,0.009979052794081632,0.4445977084704383,0.004552565618196636
default_credit,alpha_0p3,fedprox,0.1,3,0.09636921321064269,0.006754707526163087,0.463200200954534,0.013487459189810393,0.577458613799323,0.010346778951985323,0.5138774384984751,0.005005812924997062
