condition,method,n_seeds,window,accuracy_mean,accuracy_std,accuracy_temporal_std_mean,macro_f1_mean,macro_f1_std,macro_f1_temporal_std_mean,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_temporal_std_mean,roc_auc_mean,roc_auc_std,roc_auc_temporal_std_mean,pr_auc_mean,pr_auc_std,pr_auc_temporal_std_mean,minority_recall_mean,minority_recall_std,minority_recall_temporal_std_mean,minority_f1_mean,minority_f1_std,minority_f1_temporal_std_mean,minority_collapse_rate_mean,minority_collapse_rate_std
lognormal_sigma_1.5,fedavg,3,20,0.7923222222222223,0.006833863461821209,0.009197973807422006,0.5365402764980437,0.04507616134406816,0.06468047275045091,0.554407424136895,0.029644883810162625,0.03973998815135226,0.7407866748609502,0.01514414941749053,0.013595746348314128,0.48149968431816315,0.022398936799566678,0.018263713839277964,0.12778196433057018,0.07057518805333347,0.09485086964484384,0.19264923679113596,0.08786575277250999,0.12633849618919415,0.0,0.0
lognormal_sigma_1.5,fedavg_classweight,3,20,0.7962305555555554,0.0003039477903510464,0.013155594064901273,0.6248970001196501,0.0291563785320401,0.056324791303993406,0.6186539456920693,0.02693619115833819,0.04610728778196411,0.7409657501099408,0.01546099548574282,0.012813018743858984,0.4859235066300069,0.022961641900636702,0.019458596622661754,0.3002260738507912,0.07513825360174568,0.13248804481555912,0.3726677501669749,0.06092739916241174,0.11601090728105823,0.0,0.0
lognormal_sigma_1.5,fedprox,3,20,0.7933166666666667,0.0063613634108140695,0.009969595720963094,0.5412863759092634,0.03946327488226761,0.07065615102634393,0.558009060047853,0.02621521037940943,0.04481566867596246,0.7439753552249281,0.016578659095799128,0.01359517871589726,0.4917869391889121,0.021110944163698603,0.017753636911358655,0.13605877920120568,0.06183103746431064,0.10824753928903556,0.20175425031354854,0.07665826619938845,0.13830765309462273,0.016666666666666666,0.02886751345948129
lognormal_sigma_1.5,fedrba,3,20,0.7773805555555556,0.020916059641479343,0.04026470122555008,0.6248120377328612,0.02316115325124723,0.054793610770742185,0.6272590560028528,0.02747668096716309,0.04471018307582623,0.7379687866284174,0.013505817276490466,0.01748389980054962,0.48668250329344415,0.021404285820791968,0.028033567829517197,0.3580633006782215,0.0992576277146294,0.16381860955093552,0.39083841752253995,0.05278326459558268,0.11169238101092437,0.0,0.0
lognormal_sigma_1.5,fedrba_classagg,3,20,0.7912888888888889,0.006875006734003425,0.012836638154657326,0.5560337717389298,0.051650103950135126,0.06896580389680769,0.5698910962316027,0.035998695162924275,0.04722358819439821,0.7360684374790526,0.014907280915909886,0.018012975360804533,0.48021543970957525,0.01898215564172657,0.025951430276885425,0.17288369756342623,0.09124503815274247,0.12787845981840973,0.2340275109563533,0.10286898435260274,0.13918672982784744,0.0,0.0
