scenario,variant,label,n_seeds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,minority_recall_mean,minority_recall_std,minority_f1_mean,minority_f1_std,minority_collapse_rate_mean,minority_collapse_rate_std,roc_auc_temporal_std_mean,minority_recall_temporal_std_mean
alpha_0p1,fedrba,Full FedRBA,3,0.6840916667,0.05294717559,0.4418016036,0.02293497063,0.5275835645,0.02534011101,0.6519440983,0.05336473741,0.3919469666,0.05441078345,0.2469354434,0.1564539504,0.1505987627,0.09435130037,0.3666666667,0.1892969449,0.07346935485,0.3490189247
alpha_0p1,ablation_no_blindspot_loss,w/o blind-spot loss,3,0.6956111111111111,0.0523418652369351,0.4309281796693858,0.0188374369730233,0.5181438577303824,0.0231855508350101,0.6556667361707893,0.0466916027173877,0.4037325020357666,0.0446765351016237,0.1999120823913589,0.1501694423337931,0.1135405935489078,0.0961289016363281,0.4833333333333333,0.2565800719723441,0.077412482964672,0.333543160921613
alpha_0p1,ablation_no_classwise_reliability,w/o class-wise reliability,3,0.765113888888889,0.0269197641836569,0.4634522589964009,0.0223810585313431,0.5192686755239538,0.0219511227441248,0.6295540197814216,0.0535933632617369,0.3709720491918102,0.0456278519200832,0.078422506907812,0.1086466981147491,0.0731282505424851,0.082562735708643,0.4666666666666666,0.2843120351538664,0.0877493156159793,0.131360358353572
alpha_0p1,ablation_no_update_alignment,w/o update alignment,3,0.6894638888888888,0.0359103303897875,0.444167689982131,0.0385014718904945,0.5277859569204525,0.0315859622740836,0.6520885021313254,0.053874193756191,0.3932778156716138,0.0523379463229487,0.2378673700075357,0.1314954287932574,0.1457780378498003,0.0935109206169835,0.3166666666666667,0.1892969448600091,0.0806515774725847,0.3540158297592417
alpha_0p3,fedrba,Full FedRBA,3,0.756475,0.01159628473,0.5398350953,0.04441351625,0.5768854592,0.03192689465,0.7176132451,0.005020543566,0.4599267178,0.005522217724,0.2548480281,0.1093128458,0.2452663781,0.1120160959,0.2333333333,0.2254624876,0.060687017223333334,0.2649340246
alpha_0p3,ablation_no_blindspot_loss,w/o blind-spot loss,3,0.7712666666666665,0.0102207611425633,0.5030648706391888,0.0419670483321671,0.5438532714752017,0.0289717382378607,0.7185707651683609,0.0073066456280727,0.4628271336240945,0.0072027824684806,0.1360587792012057,0.0928216332976002,0.1514586225221046,0.1005070079500178,0.3166666666666667,0.2254624876411447,0.0577181948286049,0.1984824761050636
alpha_0p3,ablation_no_classwise_reliability,w/o class-wise reliability,3,0.7741305555555554,0.0184796703864704,0.5206649830850493,0.0702273007831699,0.5575896795354652,0.0468646458167549,0.7205669069101127,0.0054148975356561,0.4684578386717716,0.0082160377400352,0.1692916352675206,0.1421264377282442,0.1778771117704781,0.1458771286681031,0.4333333333333333,0.4509249752822895,0.0524922769675357,0.1662361204397663
alpha_0p3,ablation_no_update_alignment,w/o update alignment,3,0.7453083333333334,0.0132954592290416,0.5368871988162064,0.0505876617518309,0.578934513892842,0.0342342425639137,0.7140726241751896,0.0144720078958346,0.4573776282095397,0.0063104197025799,0.2805953278070835,0.1053743519135029,0.2525528232989601,0.1098380991838002,0.2333333333333333,0.2254624876411447,0.0653229701820309,0.2876673915451468
