dataset,scenario,method,target_recall,n_seeds,test_recall_mean,test_recall_std,test_precision_mean,test_precision_std,test_fpr_mean,test_fpr_std,test_f1_mean,test_f1_std
default_credit,alpha_0p1,fedavg,0.5,3,0.5094197437829692,0.029944712111990235,0.4893394599488907,0.07156649495975725,0.1570725444040231,0.056547015885828396,0.4959286369585631,0.030879030736007885
default_credit,alpha_0p1,fedavg,0.7,3,0.6865109269027884,0.01833538064897727,0.34510203822607144,0.03808686336183851,0.3754904058777373,0.07271947113001231,0.4581996271947391,0.032565613496974156
default_credit,alpha_0p1,fedavg,0.8,3,0.7895001255965838,0.01979969494995083,0.29757283722412503,0.025313743715555653,0.5336329267422784,0.07426140258171808,0.43161114630426556,0.02480732962081842
default_credit,alpha_0p1,fedavg_classweight,0.5,3,0.5031399145943231,0.017710454395450704,0.493556795569477,0.06795258918653173,0.1514373350452957,0.04884923988411641,0.4959161691712716,0.03041407351208902
default_credit,alpha_0p1,fedavg_classweight,0.7,3,0.6882692790756092,0.03174290598728081,0.3487668191607469,0.03338752977754489,0.37028318710321706,0.07482198831965477,0.46157203735937785,0.02359555670256969
default_credit,alpha_0p1,fedavg_classweight,0.8,3,0.7965335342878674,0.026823619789838254,0.29986715713536477,0.022989497001020764,0.532348954989657,0.07526623398528999,0.43500321039150497,0.020107891194680674
default_credit,alpha_0p1,fedprox,0.5,3,0.5056518462697815,0.012451176821294882,0.4890735020538078,0.0682238926875853,0.1549325914829874,0.049446806321579405,0.4949167981999933,0.031284184184830054
default_credit,alpha_0p1,fedprox,0.7,3,0.6812358703843255,0.016664163065181613,0.3536268440393382,0.031677190246669984,0.3573008060489336,0.05879317004243951,0.4647425656028524,0.02547588305542155
default_credit,alpha_0p1,fedprox,0.8,3,0.7859834212509419,0.017769142611230734,0.30144165254872496,0.018402546585204342,0.519723232755546,0.056114255552253016,0.4353528301889231,0.016347006847274605
default_credit,alpha_0p1,fedrba,0.5,3,0.5036423009294148,0.032485599488514365,0.5023614030210961,0.07941577352642774,0.14901205506812185,0.06112266480118819,0.4988415796476602,0.029240463955557006
default_credit,alpha_0p1,fedrba,0.7,3,0.6958050741019844,0.037530478543111014,0.35599388107403307,0.028242867161549015,0.361438048362936,0.06593659944180717,0.4698030283033618,0.01808113294910707
default_credit,alpha_0p1,fedrba,0.8,3,0.7910072846018589,0.027184625488005393,0.30432671628137364,0.018104648684913086,0.5162279763178543,0.06179476111625541,0.43902913864006937,0.014696498022167399
default_credit,alpha_0p1,fedrba_classagg,0.5,3,0.498367244410952,0.03149144935767605,0.49830190972419414,0.08759927598822059,0.15143733504529566,0.0677234526778398,0.4934822783125152,0.0332493137998144
default_credit,alpha_0p1,fedrba_classagg,0.7,3,0.6839989952273298,0.026603953639437947,0.35416442765050826,0.04091201848928066,0.36093872601469434,0.08037975764063345,0.465039835430229,0.030497732866146297
default_credit,alpha_0p1,fedrba_classagg,0.8,3,0.7927656367746797,0.023925407485135716,0.298657706000332,0.023748706866584052,0.5329909408659675,0.07595607070047278,0.4332064649274942,0.022240208158404755
default_credit,alpha_0p3,fedavg,0.5,3,0.5131876412961568,0.013813340452014593,0.5303465973294417,0.011522337062489464,0.12911049290248947,0.00608790592577269,0.5215502722419378,0.01029941661338723
default_credit,alpha_0p3,fedavg,0.7,3,0.7086159256468223,0.0033980781860006473,0.3867216972766756,0.007375174521982269,0.3192096440544974,0.00846927654751136,0.5003535374944937,0.006940457705458784
default_credit,alpha_0p3,fedavg,0.8,3,0.8063300678221553,0.005275056518462717,0.32549922466234876,0.009068545213101568,0.47485555317783,0.020105310392284265,0.46372465378288563,0.00907845026538103
default_credit,alpha_0p3,fedavg_classweight,0.5,3,0.5114292891233357,0.018463979367934754,0.5240643950211042,0.00761709143941873,0.13189243169983592,0.004810532933900378,0.5175766541849397,0.011454933143248566
default_credit,alpha_0p3,fedavg_classweight,0.7,3,0.7096206983170058,0.005292968476690671,0.37446513021980565,0.013421605943637754,0.3371852485911977,0.02213825857167744,0.49009654174318706,0.01036653795706168
default_credit,alpha_0p3,fedavg_classweight,0.8,3,0.8020597839738759,0.006409118725030425,0.3271610394994437,0.011088679873350627,0.4690776802910335,0.027481528365809752,0.4646381446788482,0.010131995276283834
default_credit,alpha_0p3,fedprox,0.5,3,0.5179603114795278,0.01537622300206273,0.5293820564062193,0.011952539064144539,0.1308224552393181,0.006541165545326781,0.5235158775500915,0.01083544461946859
default_credit,alpha_0p3,fedprox,0.7,3,0.7030896759608138,0.005275056518462702,0.37606754898346056,0.001548956604075386,0.33126471217633213,0.004279905842071496,0.4900205412301859,0.0010306179435886965
default_credit,alpha_0p3,fedprox,0.8,3,0.8008038181361467,0.0094823341312117,0.32432994160255396,0.005251295979843587,0.47392824024538127,0.015570761750044316,0.46163761509867124,0.004541516371395188
default_credit,alpha_0p3,fedrba,0.5,3,0.5074101984426024,0.007843504142675733,0.5390982062337576,0.015523559895848863,0.12340395177972752,0.00944088764652845,0.5226185187997786,0.004678280080869749
default_credit,alpha_0p3,fedrba,0.7,3,0.7078623461441849,0.005346344298867835,0.3775498272616406,0.0024987652767073545,0.33140737570440115,0.0030364215213343018,0.4924422491598383,0.003028872885218956
default_credit,alpha_0p3,fedrba,0.8,3,0.8043205224817885,0.009422255379809626,0.32360935774139893,0.0036809159271160496,0.4774948284471075,0.012109814398567221,0.46150171479272517,0.0031507963359561956
default_credit,alpha_0p3,fedrba_classagg,0.5,3,0.512685254961065,0.014423388314449245,0.5413441668265806,0.012992925360779992,0.12354661530779658,0.009508553577467155,0.5264160596628494,0.0052021640448592955
default_credit,alpha_0p3,fedrba_classagg,0.7,3,0.7050992213011806,0.011584880741120521,0.38918235137276386,0.009502184051473368,0.3145017476282188,0.015073129219159955,0.5014550744451387,0.0076956076673199945
default_credit,alpha_0p3,fedrba_classagg,0.8,3,0.8040693293142427,0.00271706953689828,0.32615435840726165,0.010723909535568949,0.4722876096725872,0.024092296702755617,0.46398616111948393,0.010352950385579072
give_me_some_credit,alpha_0p3,fedavg,0.5,3,0.5020781379883624,0.01148576920991911,0.36272282828556596,0.019847835908300082,0.06346371375840924,0.007082456877810755,0.4207653786471392,0.009930391593600365
give_me_some_credit,alpha_0p3,fedavg,0.7,3,0.6969243557772237,0.010103085356102045,0.20797727568765437,0.018677066385601876,0.1916651783056498,0.02572605457753784,0.3199415089954712,0.021442810664740353
give_me_some_credit,alpha_0p3,fedavg,0.8,3,0.796342477140482,0.002460290704397161,0.14899460916338794,0.012349180479899559,0.327618027028636,0.03354268025166909,0.2508619370370939,0.017526592989978145
give_me_some_credit,alpha_0p3,fedavg_classweight,0.5,3,0.4949293433083957,0.010998985806831644,0.35431799700124894,0.015499728719198842,0.06477347145323568,0.005639039870031159,0.4127288505307629,0.0085268878968582
