dataset,scenario,method,seed,validation_indices_sha256,validation_targets_sha256,test_targets_sha256,selected_checkpoint_round,validation_checkpoint_pr_auc,validation_checkpoint_roc_auc,threshold_selected_on_validation,test_roc_auc,test_pr_auc,validation_accuracy,test_accuracy,validation_balanced_accuracy,test_balanced_accuracy,validation_precision,test_precision,validation_recall,test_recall,validation_fpr,test_fpr,validation_f1,test_f1,validation_predicted_positive_rate,test_predicted_positive_rate
default_credit,alpha_0p1,fedavg,1,2391b5121c6418817aeb23921a62aaba79193a2cd0d5a9dda14a5530f397cfa3,a239723fd59dfaf41435a684e8faa9e7a4eb21871c471e04bac38392823c2846,dc87338b86a7da5a9d6ba0e3837170d285d13a053f5cda4e0b5eb31d81bf118c,40,0.5035056517423672,0.7411951061043239,0.07713010162115097,0.7478945169310269,0.5221179352532099,0.7376536778495519,0.7398333333333333,0.6934331962264924,0.6926847797743325,0.4269513008672448,0.4366883116883117,0.6153846153846154,0.6081386586284853,0.2285182229316307,0.22276909907982023,0.5041354864119733,0.5083464566929133,0.31235674098770577,0.308
default_credit,alpha_0p1,fedavg,2,e84a1df7f3ef6c8a14a0d8c021688208b3bdd302f3225bb648cdca0819d696aa,7457c6ff90cc6733826842833bdd4b7661c49fe51b522371a445dbb939833b64,44e80d528404258e64d9a9161c45e7ce3e9cdacc14df937e44018b00f54798f8,40,0.4364205036083486,0.6851870417628712,0.007148404605686665,0.6947233792356191,0.4428501874846456,0.665763700770994,0.6658333333333334,0.6414666626159518,0.6459872012431401,0.3484262838210933,0.3524804177545692,0.5981042654028436,0.6103993971363979,0.31517094017094016,0.31842499465011764,0.4403349616189811,0.44689655172413795,0.3773702854761409,0.383
default_credit,alpha_0p1,fedavg,3,7f6ba69ecffd9dbc7ef6864a917ae0a2c7b1d72cb99f6dc484f99aebb39b4e1b,b2baf64eee5fe366d5b2efe314b78d00c6ac565482211081f8f8f0125087c733,d39d1ac8d82263d3a389e4c2d814950d3c7622ff2370f8666b170836d54bc6a1,60,0.5519600306937649,0.7755009702521349,0.20394916832447052,0.7440240564895967,0.49455457346934023,0.7520316732652635,0.7286666666666667,0.7132717726237618,0.6803898874887903,0.4585561497326203,0.41981885988279166,0.6435272045028143,0.5938206480783723,0.21698365925529062,0.2330408731007918,0.5355191256830601,0.4918851435705368,0.31173161075224004,0.31283333333333335
default_credit,alpha_0p1,fedavg_classweight,1,2391b5121c6418817aeb23921a62aaba79193a2cd0d5a9dda14a5530f397cfa3,a239723fd59dfaf41435a684e8faa9e7a4eb21871c471e04bac38392823c2846,dc87338b86a7da5a9d6ba0e3837170d285d13a053f5cda4e0b5eb31d81bf118c,40,0.4982001114186165,0.7413265854257475,0.2268734574317932,0.741581978338903,0.5218876858053965,0.7318191289852053,0.7276666666666667,0.6959683938035893,0.6889208331915568,0.4209852847088932,0.4213223987698616,0.6326923076923077,0.6194423511680482,0.24075552008512902,0.24160068478493468,0.5055704955820206,0.5015253203172667,0.3256928526776412,0.32516666666666666
default_credit,alpha_0p1,fedavg_classweight,2,e84a1df7f3ef6c8a14a0d8c021688208b3bdd302f3225bb648cdca0819d696aa,7457c6ff90cc6733826842833bdd4b7661c49fe51b522371a445dbb939833b64,44e80d528404258e64d9a9161c45e7ce3e9cdacc14df937e44018b00f54798f8,40,0.43569584278784745,0.6850053925142787,0.018073122948408127,0.7028653598708997,0.4458172486358108,0.6326317982913107,0.6231666666666666,0.6420174332644712,0.6364020828015031,0.3312678741658723,0.3261355174981385,0.6587677725118484,0.6601356443104748,0.374732905982906,0.3873314787074684,0.4408499841420869,0.4365811113879891,0.43717441133569496,0.44766666666666666
default_credit,alpha_0p1,fedavg_classweight,3,7f6ba69ecffd9dbc7ef6864a917ae0a2c7b1d72cb99f6dc484f99aebb39b4e1b,b2baf64eee5fe366d5b2efe314b78d00c6ac565482211081f8f8f0125087c733,d39d1ac8d82263d3a389e4c2d814950d3c7622ff2370f8666b170836d54bc6a1,40,0.5430394100223477,0.7720648804913732,0.2521606385707855,0.7452682770444009,0.4907628635910621,0.7105647009793707,0.6931666666666667,0.7023674302868438,0.677833796774783,0.4097261039686976,0.38526785714285716,0.6876172607879925,0.6503391107761869,0.2828824002143049,0.294671517226621,0.5134851138353764,0.4838800112139053,0.3727859970827256,0.37333333333333335
default_credit,alpha_0p1,fedprox,1,2391b5121c6418817aeb23921a62aaba79193a2cd0d5a9dda14a5530f397cfa3,a239723fd59dfaf41435a684e8faa9e7a4eb21871c471e04bac38392823c2846,dc87338b86a7da5a9d6ba0e3837170d285d13a053f5cda4e0b5eb31d81bf118c,40,0.5079642279931553,0.7428352722696299,0.07725900411605835,0.7386661110637178,0.5075528288777529,0.7493227755782454,0.749,0.700881985798187,0.6942529766229092,0.4435204435204435,0.4491766042021579,0.6153846153846154,0.5960813865862848,0.21362064378824153,0.20757543334046646,0.5155054369714056,0.5123056994818652,0.3006876432590123,0.2935
default_credit,alpha_0p1,fedprox,2,e84a1df7f3ef6c8a14a0d8c021688208b3bdd302f3225bb648cdca0819d696aa,7457c6ff90cc6733826842833bdd4b7661c49fe51b522371a445dbb939833b64,44e80d528404258e64d9a9161c45e7ce3e9cdacc14df937e44018b00f54798f8,40,0.44346621332018393,0.7014302821322963,0.007613967638462782,0.7078162788331241,0.45133163858313435,0.6595123984163367,0.6538333333333334,0.6503949447077408,0.6455677575696198,0.3489827856025039,0.34529702970297027,0.6341232227488152,0.6307460437076111,0.33333333333333337,0.3396105285683715,0.45020188425302826,0.4462809917355372,0.3994582204625964,0.404
default_credit,alpha_0p1,fedprox,3,7f6ba69ecffd9dbc7ef6864a917ae0a2c7b1d72cb99f6dc484f99aebb39b4e1b,b2baf64eee5fe366d5b2efe314b78d00c6ac565482211081f8f8f0125087c733,d39d1ac8d82263d3a389e4c2d814950d3c7622ff2370f8666b170836d54bc6a1,40,0.5486732498558498,0.7726731413803866,0.09988903999328613,0.7459124399639998,0.4976468455771076,0.714315482392165,0.6945,0.7031028467262974,0.6765314411010614,0.4134014764338444,0.3858303249097473,0.6829268292682927,0.6443104747550866,0.2767211358156978,0.29124759255296384,0.5150336045277679,0.4826418289585097,0.36695144821837883,0.36933333333333335
default_credit,alpha_0p1,fedrba,1,2391b5121c6418817aeb23921a62aaba79193a2cd0d5a9dda14a5530f397cfa3,a239723fd59dfaf41435a684e8faa9e7a4eb21871c471e04bac38392823c2846,dc87338b86a7da5a9d6ba0e3837170d285d13a053f5cda4e0b5eb31d81bf118c,40,0.5068257413639256,0.7476809503345816,0.18962307274341583,0.7479963541781735,0.5261668223005043,0.7261929568660137,0.7235,0.6972455849550822,0.6921813183561356,0.415327564894932,0.4178217821782178,0.6461538461538462,0.6360211002260738,0.2516626762436819,0.2516584635138027,0.5056433408577878,0.5043322378249178,0.33715357366117943,0.33666666666666667
