dataset,scenario,method,n_seeds,selected_checkpoint_round_mean,selected_checkpoint_round_std,validation_checkpoint_pr_auc_mean,validation_checkpoint_pr_auc_std,validation_checkpoint_roc_auc_mean,validation_checkpoint_roc_auc_std,threshold_selected_on_validation_mean,threshold_selected_on_validation_std,test_roc_auc_mean,test_roc_auc_std,test_pr_auc_mean,test_pr_auc_std,test_accuracy_mean,test_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_fpr_mean,test_fpr_std,test_f1_mean,test_f1_std,test_predicted_positive_rate_mean,test_predicted_positive_rate_std
default_credit,alpha_0p1,fedavg,3,46.666666666666664,11.547005383792515,0.49729539534816025,0.05801957465495374,0.73396103937311,0.045589474781957136,0.09607589151710272,0.09975892123594916,0.7288806508854142,0.029644299973613696,0.48650756540239853,0.04024189003013218,0.7114444444444445,0.03989302825938013,0.6730206228354211,0.024205278480483722,0.4029958631085575,0.04455336424489768,0.6041195679477518,0.008990469815711237,0.2580783222769099,0.052513502885200236,0.48237605066252937,0.031809430065905295,0.33461111111111114,0.041975632260916614
default_credit,alpha_0p1,fedavg_classweight,3,40.0,0.0,0.4923117880762706,0.05391349200798377,0.7327989528104665,0.04415177233389809,0.16570240631699562,0.12847437239944423,0.7299052050847346,0.023489617311221764,0.48615593267742313,0.038243897710945364,0.6813333333333333,0.05324550059238185,0.6677189042559476,0.0276819087787292,0.3775752578036191,0.0480574412032602,0.6433057020849032,0.021238824239063522,0.30786789357300803,0.07375618167875565,0.4739954809730537,0.033581475874716216,0.38205555555555554,0.06171402085726039
default_credit,alpha_0p1,fedprox,3,40.0,0.0,0.500034563723063,0.05304988044973819,0.738979565260771,0.03577759223123355,0.06158733724926909,0.04809233932041242,0.7307982766202805,0.020230088663903904,0.48551043767933155,0.030011245509505707,0.6991111111111111,0.04775060596861958,0.6721173917645302,0.024640931642811156,0.3934346529382918,0.05235561911683738,0.6237126350163275,0.024871929252924502,0.2794778514872673,0.06679978814731109,0.480409506725304,0.03306891221618357,0.3556111111111111,0.056513600460747854
default_credit,alpha_0p1,fedrba,3,76.66666666666667,35.11884584284246,0.5017040300838609,0.06536245322105598,0.7407643774307792,0.04419177481191323,0.18791274167597294,0.16798452736671043,0.7361379725104475,0.01844855420104026,0.4935900260645251,0.03683601588220495,0.7138888888888889,0.05439064802512096,0.6820541698899003,0.017680156859988933,0.4137225646303891,0.05839750143076661,0.6249686008540567,0.054353581349273226,0.26086026107425636,0.08458338187376861,0.49375038182517755,0.026668797311677758,0.3413888888888889,0.07752460780174782
default_credit,alpha_0p1,fedrba_classagg,3,76.66666666666667,63.50852961085884,0.49690454781434606,0.0663384669522052,0.7350304078697424,0.05024284533815772,0.12857175804674625,0.13980994209305256,0.7307189623641893,0.03133784687475744,0.48646582004012034,0.0455354833487924,0.7468333333333333,0.024593924272289524,0.680451570381955,0.025701274598263043,0.44471166160761827,0.041594105095996384,0.5614167294649586,0.0457950703971017,0.2005135887010486,0.030664114121844843,0.4954627227039348,0.03531300164650739,0.2803333333333333,0.027221825393933034
default_credit,alpha_0p3,fedavg,3,60.0,70.0,0.5118998693727029,0.0021998302490506393,0.7556402372699379,0.006144625996424092,0.24052170912424722,0.12920839884180532,0.7636573854204647,0.006208151857520921,0.5223007852188255,0.010885840707484214,0.767611111111111,0.007932586332711817,0.6984670067477053,0.00419195901873608,0.4792905208551685,0.014045485859651914,0.5744787741773424,0.015559789666866221,0.17754476068193167,0.013629221107386754,0.5223597480995691,0.006283575041426649,0.26533333333333337,0.013642254619787417
default_credit,alpha_0p3,fedavg_classweight,3,80.0,65.57438524302,0.5116082292847767,0.0037360019411494636,0.7542508763226948,0.006669640544049871,0.2487931748231252,0.1930831647682472,0.7624072250315038,0.006435960123929038,0.5211932377799124,0.010132677481551123,0.7451666666666666,0.034475031222288705,0.6909826544479171,0.008139129160557519,0.45168875914485146,0.052901509422467595,0.5938206480783722,0.08359978825362707,0.211855339182538,0.06794139895736162,0.5074185606331202,0.0034011337338289015,0.29633333333333334,0.07138063073722761
default_credit,alpha_0p3,fedprox,3,93.33333333333333,73.71114795831994,0.513832252595502,0.00712976594073253,0.7564114078682841,0.010031197743793312,0.05750302163263162,0.03669017152884335,0.7616774317425706,0.00439783521143921,0.523692739425471,0.011013557263419738,0.7495555555555556,0.02418581616782249,0.6965881108817062,0.005438903232558414,0.45360458420574146,0.03408092917941658,0.6016076362722934,0.04322639579908567,0.20843141450888078,0.04278407612790723,0.5155166544610114,0.010017623121134106,0.2953888888888889,0.04264398268524247
default_credit,alpha_0p3,fedrba,3,103.33333333333333,80.82903768654761,0.516736516926666,0.0047804971407222775,0.7565386179804828,0.0030379932344559136,0.3240046451489131,0.15530284828737667,0.7646695224099193,0.004471550332896558,0.5255331427546452,0.01158533021339436,0.7607222222222223,0.024595241936722804,0.6957531207109223,0.0018209788984070178,0.4715961296159517,0.04403424572217899,0.5792514443607133,0.04223632164176581,0.18774520293886868,0.04352126238982813,0.5175581479074666,0.008282200447854006,0.2743333333333333,0.043213938080721645
default_credit,alpha_0p3,fedrba_classagg,3,83.33333333333333,70.23769168568494,0.5150274306660135,0.0053458048545967475,0.7591301240799916,0.009541356723899457,0.11361520240704219,0.04100988453221221,0.764588461143782,0.009136624988122774,0.5213836438341661,0.009983057921587222,0.718111111111111,0.030786150084689656,0.7017616795550318,0.009674601243864017,0.4178707906132682,0.0328991728537023,0.672444109520221,0.028777792608363714,0.2689207504101576,0.047632743502679306,0.5142557002063326,0.01687130382687251,0.3581666666666667,0.04342522308520707
